City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,san pedro pochutla,15.7333,-96.4667,73.63,88,87,4.65,MX,1698728437
249,homer,59.6425,-151.5483,45.03,79,43,13.0,US,1698728439
250,laem sing,12.4816,102.0738,88.14,65,100,9.53,TH,1698728445
251,cabo san lucas,22.8909,-109.9124,79.75,80,19,4.45,MX,1698728429
252,adam,22.3756,57.5233,80.64,53,34,1.68,OM,1698728446
253,dunedin,-45.8742,170.5036,55.8,89,94,5.01,NZ,1698728382
254,tshabong,-26.05,22.45,57.65,70,0,20.62,BW,1698728449
255,pathein,16.7833,94.7333,86.81,63,88,9.55,MM,1698728450
256,crane,31.3974,-102.3501,41.16,46,2,3.76,US,1698728451
257,tondano,1.3038,124.9112,84.29,67,95,8.3,ID,1698728451
258,chunskiy,56.0815,99.6342,20.68,58,12,7.18,RU,1698728452
259,labytnangi,66.6572,66.4183,13.75,96,100,3.89,RU,1698728452
260,puerto baquerizo moreno,-0.9,-89.6,73.72,80,100,11.7,EC,1698728452
261,makarov,48.6333,142.8,52.38,54,45,5.48,RU,1698728452
262,puerto santa,-8.9906,-78.6456,63.72,94,43,7.23,PE,1698728453
263,mananjary,-21.2167,48.3333,82.58,59,10,6.29,MG,1698728453
264,hammerfest,70.6634,23.6821,36.05,75,20,11.5,NO,1698728428
265,puerto ayora,-0.7393,-90.3518,74.55,93,100,1.99,EC,1698728454
266,mount pearl,47.5166,-52.7813,34.07,95,100,4.61,CA,1698728455
267,nova vicosa,-17.8919,-39.3719,73.36,80,98,5.19,BR,1698728455
268,caburan,5.9181,125.6411,83.62,82,98,1.36,PH,1698728456
269,richmond,37.5538,-77.4603,55.38,86,100,9.22,US,1698728188
270,madinat ash shamal,26.1293,51.2009,83.55,61,89,3.29,QA,1698728456
271,marietta,33.9526,-84.5499,52.7,83,40,9.22,US,1698728456
272,ringkobing,56.0901,8.244,40.01,80,100,24.9,DK,1698728456
273,monrovia,6.3005,-10.7969,76.77,90,7,5.88,LR,1698728412
274,bridgewater,44.3835,-64.5155,40.68,98,100,10.36,CA,1698728457
275,san carlos de bariloche,-41.1456,-71.3082,33.55,93,100,2.3,AR,1698728458
276,mapimi,25.8167,-103.85,45.84,75,100,5.99,MX,1698728458
277,usinsk,65.9939,57.5281,16.07,81,95,7.0,RU,1698728459
278,vejen,55.4833,9.15,46.45,100,100,12.66,DK,1698728459
279,mahajanga,-15.7167,46.3167,84.22,58,20,13.8,MG,1698728459
280,qianzhou,28.3167,109.7167,79.11,49,62,1.03,CN,1698728460
281,silchar,24.8167,92.8,89.51,46,56,4.16,IN,1698728460
282,rokiskis,55.9667,25.5833,43.84,94,100,8.68,LT,1698728460
283,palmer,42.1584,-72.3287,45.07,75,100,12.66,US,1698728460
284,guimar,28.3039,-16.4325,70.38,70,100,1.01,ES,1698728461
